stratum,stratum_share_of_all_negatives,method,n_negatives,ad_negative_assigned_escalation,ad_negative_clinician_overseen_reassessment,specificity_within_negative_stratum,ad_negative_assigned_escalation_rate,direct_cta_pathway,urgent_specialist_transfer_pathway_escalation,clinician_overseen_reassessment
overall_final_ad_negative,1.0,ADD-RS >=1,11042,5556,5486,0.4968302843687738,0.5031697156312263,,,5486
overall_final_ad_negative,1.0,Canonical threshold,11042,4175,6867,0.6218982068465858,0.37810179315341425,3473,702,6867
overall_final_ad_negative,1.0,Single-agent,11042,3362,7680,0.6955261727947836,0.30447382720521643,3196,166,7680
overall_final_ad_negative,1.0,Multi-agent,11042,3052,7990,0.723600796957073,0.27639920304292703,2953,99,7990
cta_mra_retained_negative,0.10152146350298859,ADD-RS >=1,1121,744,377,0.33630686886708294,0.6636931311329171,,,377
cta_mra_retained_negative,0.10152146350298859,Canonical threshold,1121,687,434,0.3871543264942016,0.6128456735057984,479,208,434
cta_mra_retained_negative,0.10152146350298859,Single-agent,1121,595,526,0.46922390722569135,0.5307760927743087,556,39,526
cta_mra_retained_negative,0.10152146350298859,Multi-agent,1121,578,543,0.48438893844781444,0.5156110615521855,542,36,543
non_cta_mra_retained_negative,0.8984785364970114,ADD-RS >=1,9921,4812,5109,0.5149682491684306,0.4850317508315694,,,5109
non_cta_mra_retained_negative,0.8984785364970114,Canonical threshold,9921,3488,6433,0.6484225380505997,0.35157746194940026,2994,494,6433
non_cta_mra_retained_negative,0.8984785364970114,Single-agent,9921,2767,7154,0.7210966636427779,0.27890333635722203,2640,127,7154
non_cta_mra_retained_negative,0.8984785364970114,Multi-agent,9921,2474,7447,0.7506299768168532,0.24937002318314686,2411,63,7447
